Cod. Municipio|Departamento|Municipio|Subregión PDET|ZOMAC
13473|Bolívar|Morales|SUR DE BOLÍVAR|1
13490|Bolívar|Norosí||0
13549|Bolívar|Pinillos||0
13580|Bolívar|Regidor||0
13600|Bolívar|Río Viejo||1
13620|Bolívar|San Cristóbal||0
13647|Bolívar|San Estanislao||0
13650|Bolívar|San Fernando||0
13654|Bolívar|San Jacinto|MONTES DE MARÍA|1
13655|Bolívar|San Jacinto del Cauca||0
13657|Bolívar|San Juan Nepomuceno|MONTES DE MARÍA|1
13667|Bolívar|San Martín de Loba||0
13670|Bolívar|San Pablo|SUR DE BOLÍVAR|1
13673|Bolívar|Santa Catalina||0
13683|Bolívar|Santa Rosa||0
13688|Bolívar|Santa Rosa del Sur|SUR DE BOLÍVAR|1
13744|Bolívar|Simití|SUR DE BOLÍVAR|1
13760|Bolívar|Soplaviento||0
13780|Bolívar|Talaigua Nuevo||0
13810|Bolívar|Tiquisio||1
13836|Bolívar|Turbaco||0
13838|Bolívar|Turbaná||0
13873|Bolívar|Villanueva||0
13894|Bolívar|Zambrano|MONTES DE MARÍA|1
15001|Boyacá|Tunja||0
15022|Boyacá|Almeida||0
15047|Boyacá|Aquitania||0
15051|Boyacá|Arcabuco||0
15087|Boyacá|Belén||0
15090|Boyacá|Berbeo||0
15092|Boyacá|Betéitiva||0
15097|Boyacá|Boavita||0
15104|Boyacá|Boyacá||0
15106|Boyacá|Briceño||0
15109|Boyacá|Buenavista||0
15114|Boyacá|Busbanzá||0
15131|Boyacá|Caldas||0
15135|Boyacá|Campohermoso||0
15162|Boyacá|Cerinza||0
15172|Boyacá|Chinavita||0
15176|Boyacá|Chiquinquirá||0
15180|Boyacá|Chiscas||0
15183|Boyacá|Chita||0
15185|Boyacá|Chitaraque||0
15187|Boyacá|Chivatá||0
15189|Boyacá|Ciénega||0
15204|Boyacá|Cómbita||0
15212|Boyacá|Coper||0
15215|Boyacá|Corrales||0
15218|Boyacá|Covarachía||0
15223|Boyacá|Cubará||0
15224|Boyacá|Cucaita||0
15226|Boyacá|Cuítiva||0
15232|Boyacá|Chíquiza||0
15236|Boyacá|Chivor||1
15238|Boyacá|Duitama||0
15244|Boyacá|El Cocuy||0
15248|Boyacá|El Espino||0
15272|Boyacá|Firavitoba||0
15276|Boyacá|Floresta||0
15293|Boyacá|Gachantivá||0
15296|Boyacá|Gámeza||0
15299|Boyacá|Garagoa||0
15317|Boyacá|Guacamayas||0
15322|Boyacá|Guateque||0
15325|Boyacá|Guayatá||0
15332|Boyacá|Güicán de La Sierra||0
15362|Boyacá|Iza||0
15367|Boyacá|Jenesano||0
15368|Boyacá|Jericó||0
15377|Boyacá|Labranzagrande||1
15380|Boyacá|La Capilla||0
15401|Boyacá|La Victoria||0
15403|Boyacá|La Uvita||0
15407|Boyacá|Villa de Leyva||0
15425|Boyacá|Macanal||0
15442|Boyacá|Maripí||0
15455|Boyacá|Miraflores||0
15464|Boyacá|Mongua||0
15466|Boyacá|Monguí||0
15469|Boyacá|Moniquirá||0
15476|Boyacá|Motavita||0
15480|Boyacá|Muzo||0
15491|Boyacá|Nobsa||0
15494|Boyacá|Nuevo Colón||0
15500|Boyacá|Oicatá||0
15507|Boyacá|Otanche||0
15511|Boyacá|Pachavita||0
15514|Boyacá|Páez||0
15516|Boyacá|Paipa||0
15518|Boyacá|Pajarito||1
15522|Boyacá|Panqueba||0
15531|Boyacá|Pauna||0
15533|Boyacá|Paya||1
15537|Boyacá|Paz de Río||0
15542|Boyacá|Pesca||0
15550|Boyacá|Pisba||1
15572|Boyacá|Puerto Boyacá||0
15580|Boyacá|Quípama||0
15599|Boyacá|Ramiriquí||0
15600|Boyacá|Ráquira||0
15621|Boyacá|Rondón||0
15632|Boyacá|Saboyá||0
15638|Boyacá|Sáchica||0
15646|Boyacá|Samacá||0
15660|Boyacá|San Eduardo||0
15664|Boyacá|San José de Pare||0
15667|Boyacá|San Luis de Gaceno||0
15673|Boyacá|San Mateo||0
15676|Boyacá|San Miguel de Sema||0
15681|Boyacá|San Pablo de Borbur||0
15686|Boyacá|Santana||0
15690|Boyacá|Santa María||0
15693|Boyacá|Santa Rosa de Viterbo||0
15696|Boyacá|Santa Sofía||0
15720|Boyacá|Sativanorte||0
15723|Boyacá|Sativasur||0
15740|Boyacá|Siachoque||0
15753|Boyacá|Soatá||0
15755|Boyacá|Socotá||0
15757|Boyacá|Socha||0
15759|Boyacá|Sogamoso||0
15761|Boyacá|Somondoco||0
15762|Boyacá|Sora||0
15763|Boyacá|Sotaquirá||0
15764|Boyacá|Soracá||0
15774|Boyacá|Susacón||0
15776|Boyacá|Sutamarchán||0
15778|Boyacá|Sutatenza||0
15790|Boyacá|Tasco||0
15798|Boyacá|Tenza||0
15804|Boyacá|Tibaná||0
15806|Boyacá|Tibasosa||0
15808|Boyacá|Tinjacá||0
15810|Boyacá|Tipacoque||0
15814|Boyacá|Toca||0
15816|Boyacá|Togüí||0
15820|Boyacá|Tópaga||0
15822|Boyacá|Tota||0
15832|Boyacá|Tununguá||0
15835|Boyacá|Turmequé||0
15837|Boyacá|Tuta||0
15839|Boyacá|Tutazá||0
15842|Boyacá|Úmbita||0
15861|Boyacá|Ventaquemada||0
15879|Boyacá|Viracachá||0
15897|Boyacá|Zetaquira||0
17001|Caldas|Manizales||0
17013|Caldas|Aguadas||0
17042|Caldas|Anserma||1
17050|Caldas|Aranzazu||0
17088|Caldas|Belalcázar||1
17174|Caldas|Chinchiná||0
17272|Caldas|Filadelfia||0
17380|Caldas|La Dorada||0
17388|Caldas|La Merced||0
17433|Caldas|Manzanares||0
17442|Caldas|Marmato||0
17444|Caldas|Marquetalia||0
17446|Caldas|Marulanda||1
17486|Caldas|Neira||0
17495|Caldas|Norcasia||1
17513|Caldas|Pácora||0
17524|Caldas|Palestina||1
17541|Caldas|Pensilvania||1
17614|Caldas|Riosucio||1
17616|Caldas|Risaralda||1
17653|Caldas|Salamina||0
17662|Caldas|Samaná||1
17665|Caldas|San José||0
17777|Caldas|Supía||0
17867|Caldas|Victoria||0
17873|Caldas|Villamaría||0
17877|Caldas|Viterbo||0
18001|Caquetá|Florencia|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18029|Caquetá|Albania|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18094|Caquetá|Belén de Los Andaquíes|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18150|Caquetá|Cartagena del Chairá|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18205|Caquetá|Curillo|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18247|Caquetá|El Doncello|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18256|Caquetá|El Paujíl|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18410|Caquetá|La Montañita|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18460|Caquetá|Milán|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18479|Caquetá|Morelia|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18592|Caquetá|Puerto Rico|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18610|Caquetá|San José del Fragua|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18753|Caquetá|San Vicente del Caguán|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18756|Caquetá|Solano|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18785|Caquetá|Solita|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
18860|Caquetá|Valparaíso|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
19001|Cauca|Popayán||0
19022|Cauca|Almaguer||0
19050|Cauca|Argelia|ALTO PATÍA Y NORTE DEL CAUCA|1
19075|Cauca|Balboa|ALTO PATÍA Y NORTE DEL CAUCA|1
19100|Cauca|Bolívar||0
19110|Cauca|Buenos Aires|ALTO PATÍA Y NORTE DEL CAUCA|1
19130|Cauca|Cajibío|ALTO PATÍA Y NORTE DEL CAUCA|1
19137|Cauca|Caldono|ALTO PATÍA Y NORTE DEL CAUCA|1
19142|Cauca|Caloto|ALTO PATÍA Y NORTE DEL CAUCA|1
19212|Cauca|Corinto|ALTO PATÍA Y NORTE DEL CAUCA|1
19256|Cauca|El Tambo|ALTO PATÍA Y NORTE DEL CAUCA|1
19290|Cauca|Florencia||1
19300|Cauca|Guachené||0
19318|Cauca|Guapi|PACÍFICO MEDIO|1
19355|Cauca|Inzá||0
19364|Cauca|Jambaló|ALTO PATÍA Y NORTE DEL CAUCA|1
19392|Cauca|La Sierra||0
19397|Cauca|La Vega||0
19418|Cauca|López de Micay|PACÍFICO MEDIO|1
19450|Cauca|Mercaderes|ALTO PATÍA Y NORTE DEL CAUCA|1
19455|Cauca|Miranda|ALTO PATÍA Y NORTE DEL CAUCA|1
19473|Cauca|Morales|ALTO PATÍA Y NORTE DEL CAUCA|1
19513|Cauca|Padilla||0
19517|Cauca|Páez||0
19532|Cauca|Patía|ALTO PATÍA Y NORTE DEL CAUCA|1
19533|Cauca|Piamonte||1
19548|Cauca|Piendamó - Tunía|ALTO PATÍA Y NORTE DEL CAUCA|1
19573|Cauca|Puerto Tejada||0
19585|Cauca|Puracé||0
19622|Cauca|Rosas||0
19693|Cauca|San Sebastián||0
19698|Cauca|Santander de Quilichao|ALTO PATÍA Y NORTE DEL CAUCA|1
19701|Cauca|Santa Rosa||1
19743|Cauca|Silvia||0
19760|Cauca|Sotará Paispamba||0
19780|Cauca|Suárez|ALTO PATÍA Y NORTE DEL CAUCA|1
19785|Cauca|Sucre||0
19807|Cauca|Timbío||0
19809|Cauca|Timbiquí|PACÍFICO MEDIO|1
19821|Cauca|Toribío|ALTO PATÍA Y NORTE DEL CAUCA|1
19824|Cauca|Totoró||0
19845|Cauca|Villa Rica||0
20001|Cesar|Valledupar|SIERRA NEVADA - PERIJÁ|0
20011|Cesar|Aguachica||1
20013|Cesar|Agustín Codazzi|SIERRA NEVADA - PERIJÁ|1
20032|Cesar|Astrea||0
20045|Cesar|Becerril|SIERRA NEVADA - PERIJÁ|1
20060|Cesar|Bosconia||1
20175|Cesar|Chimichagua||0
20178|Cesar|Chiriguaná||1
20228|Cesar|Curumaní||1
20238|Cesar|El Copey||1
20250|Cesar|El Paso||0
20295|Cesar|Gamarra||0
20310|Cesar|González||0
20383|Cesar|La Gloria||1
20400|Cesar|La Jagua de Ibirico|SIERRA NEVADA - PERIJÁ|1
20443|Cesar|Manaure Balcón del Cesar|SIERRA NEVADA - PERIJÁ|1
20517|Cesar|Pailitas||1
20550|Cesar|Pelaya||1
20570|Cesar|Pueblo Bello|SIERRA NEVADA - PERIJÁ|1
20614|Cesar|Río de Oro||0
20621|Cesar|La Paz|SIERRA NEVADA - PERIJÁ|1
20710|Cesar|San Alberto||0
20750|Cesar|San Diego|SIERRA NEVADA - PERIJÁ|1
20770|Cesar|San Martín||0
20787|Cesar|Tamalameque||0
23001|Córdoba|Montería||0
23068|Córdoba|Ayapel||0
23079|Córdoba|Buenavista||0
23090|Córdoba|Canalete||0
23162|Córdoba|Cereté||0
23168|Córdoba|Chimá||0
23182|Córdoba|Chinú||0
23189|Córdoba|Ciénaga de Oro||0
23300|Córdoba|Cotorra||0
23350|Córdoba|La Apartada||0
23417|Córdoba|Lorica||0
23419|Córdoba|Los Córdobas||0
23464|Córdoba|Momil||0
23466|Córdoba|Montelíbano|SUR DE CÓRDOBA|1
23500|Córdoba|Moñitos||0
23555|Córdoba|Planeta Rica||0
23570|Córdoba|Pueblo Nuevo||0
23574|Córdoba|Puerto Escondido||0
23580|Córdoba|Puerto Libertador|SUR DE CÓRDOBA|1
23586|Córdoba|Purísima de La Concepción||0
23660|Córdoba|Sahagún||0
23670|Córdoba|San Andrés Sotavento||0
23672|Córdoba|San Antero||0
23675|Córdoba|San Bernardo del Viento||0
23678|Córdoba|San Carlos||0
23682|Córdoba|San José de Uré|SUR DE CÓRDOBA|1
23686|Córdoba|San Pelayo||0
23807|Córdoba|Tierralta|SUR DE CÓRDOBA|1
23815|Córdoba|Tuchín||0
23855|Córdoba|Valencia|SUR DE CÓRDOBA|1
25001|Cundinamarca|Agua de Dios||0
25019|Cundinamarca|Albán||0
25035|Cundinamarca|Anapoima||0
25040|Cundinamarca|Anolaima||0
25053|Cundinamarca|Arbeláez||0
25086|Cundinamarca|Beltrán||0
25095|Cundinamarca|Bituima||0
25099|Cundinamarca|Bojacá||0
25120|Cundinamarca|Cabrera||1
25123|Cundinamarca|Cachipay||0
25126|Cundinamarca|Cajicá||0
25148|Cundinamarca|Caparrapí||0
25151|Cundinamarca|Cáqueza||0
25154|Cundinamarca|Carmen de Carupa||0
25168|Cundinamarca|Chaguaní||1
25175|Cundinamarca|Chía||0
25178|Cundinamarca|Chipaque||0
25181|Cundinamarca|Choachí||0
25183|Cundinamarca|Chocontá||0
25200|Cundinamarca|Cogua||0
25214|Cundinamarca|Cota||0
25224|Cundinamarca|Cucunubá||0
25245|Cundinamarca|El Colegio||0
25258|Cundinamarca|El Peñón||1
25260|Cundinamarca|El Rosal||0
25269|Cundinamarca|Facatativá||0
25279|Cundinamarca|Fómeque||0
25281|Cundinamarca|Fosca||0
25286|Cundinamarca|Funza||0
25288|Cundinamarca|Fúquene||0
25290|Cundinamarca|Fusagasugá||0
25293|Cundinamarca|Gachalá||0
25295|Cundinamarca|Gachancipá||0
25297|Cundinamarca|Gachetá||0
25299|Cundinamarca|Gama||0
25307|Cundinamarca|Girardot||0
25312|Cundinamarca|Granada||0
25317|Cundinamarca|Guachetá||0
25320|Cundinamarca|Guaduas||0
25322|Cundinamarca|Guasca||0
25324|Cundinamarca|Guataquí||0
25326|Cundinamarca|Guatavita||0
25328|Cundinamarca|Guayabal de Síquima||1
25335|Cundinamarca|Guayabetal||1
25339|Cundinamarca|Gutiérrez||0
25368|Cundinamarca|Jerusalén||0
25372|Cundinamarca|Junín||0
25377|Cundinamarca|La Calera||0
25386|Cundinamarca|La Mesa||0
25394|Cundinamarca|La Palma||1
25398|Cundinamarca|La Peña||0
25402|Cundinamarca|La Vega||0
25407|Cundinamarca|Lenguazaque||0
25426|Cundinamarca|Machetá||0
25430|Cundinamarca|Madrid||0
25436|Cundinamarca|Manta||0
25438|Cundinamarca|Medina||1
25473|Cundinamarca|Mosquera||0
25483|Cundinamarca|Nariño||0
25486|Cundinamarca|Nemocón||0
25488|Cundinamarca|Nilo||0
25489|Cundinamarca|Nimaima||0
25491|Cundinamarca|Nocaima||0
25506|Cundinamarca|Venecia||0
25513|Cundinamarca|Pacho||0
25518|Cundinamarca|Paime||0
25524|Cundinamarca|Pandi||0
25530|Cundinamarca|Paratebueno||1
25535|Cundinamarca|Pasca||0
25572|Cundinamarca|Puerto Salgar||0
25580|Cundinamarca|Pulí||1
25592|Cundinamarca|Quebradanegra||0
25594|Cundinamarca|Quetame||0
25596|Cundinamarca|Quipile||0
25599|Cundinamarca|Apulo||0
25612|Cundinamarca|Ricaurte||0
25645|Cundinamarca|San Antonio del Tequendama||0
25649|Cundinamarca|San Bernardo||0
25653|Cundinamarca|San Cayetano||0
25658|Cundinamarca|San Francisco||0
25662|Cundinamarca|San Juan de Rioseco||0
25718|Cundinamarca|Sasaima||0
25736|Cundinamarca|Sesquilé||0
25740|Cundinamarca|Sibaté||0
25743|Cundinamarca|Silvania||1
25745|Cundinamarca|Simijaca||0
25754|Cundinamarca|Soacha||0
25758|Cundinamarca|Sopó||0
25769|Cundinamarca|Subachoque||0
25772|Cundinamarca|Suesca||0
25777|Cundinamarca|Supatá||0
25779|Cundinamarca|Susa||0
25781|Cundinamarca|Sutatausa||0
25785|Cundinamarca|Tabio||0
25793|Cundinamarca|Tausa||0
25797|Cundinamarca|Tena||0
25799|Cundinamarca|Tenjo||0
25805|Cundinamarca|Tibacuy||0
25807|Cundinamarca|Tibirita||0
25815|Cundinamarca|Tocaima||0
25817|Cundinamarca|Tocancipá||0
25823|Cundinamarca|Topaipí||1
25839|Cundinamarca|Ubalá||0
25841|Cundinamarca|Ubaque||0
25843|Cundinamarca|Villa de San Diego de Ubaté||0
25845|Cundinamarca|Une||0
25851|Cundinamarca|Útica||0
25862|Cundinamarca|Vergara||0
25867|Cundinamarca|Vianí||0
25871|Cundinamarca|Villagómez||0
25873|Cundinamarca|Villapinzón||0
25875|Cundinamarca|Villeta||0
25878|Cundinamarca|Viotá||1
25885|Cundinamarca|Yacopí||0
25898|Cundinamarca|Zipacón||0
25899|Cundinamarca|Zipaquirá||0
27001|Chocó|Quibdó||1
27006|Chocó|Acandí|CHOCÓ|1
27025|Chocó|Alto Baudó||0
27050|Chocó|Atrato||0
27073|Chocó|Bagadó||1
27075|Chocó|Bahía Solano||0
27077|Chocó|Bajo Baudó||1
27099|Chocó|Bojayá|CHOCÓ|1
27135|Chocó|El Cantón del San Pablo||0
27150|Chocó|Carmen del Darién|CHOCÓ|1
27160|Chocó|Cértegui||0
27205|Chocó|Condoto|CHOCÓ|1
27245|Chocó|El Carmen de Atrato||1
27250|Chocó|El Litoral del San Juan|CHOCÓ|1
27361|Chocó|Istmina|CHOCÓ|1
27372|Chocó|Juradó||0
27413|Chocó|Lloró||0
27425|Chocó|Medio Atrato|CHOCÓ|1
27430|Chocó|Medio Baudó||0
27450|Chocó|Medio San Juan|CHOCÓ|1
27491|Chocó|Nóvita|CHOCÓ|1
27495|Chocó|Nuquí||0
27580|Chocó|Río Iró||0
27600|Chocó|Río Quito||0
27615|Chocó|Riosucio|CHOCÓ|1
27660|Chocó|San José del Palmar||1
27745|Chocó|Sipí|CHOCÓ|1
27787|Chocó|Tadó||1
27800|Chocó|Unguía|CHOCÓ|1
27810|Chocó|Unión Panamericana||0
41001|Huila|Neiva||0
41006|Huila|Acevedo||1
41013|Huila|Agrado||0
41016|Huila|Aipe||0
41020|Huila|Algeciras|CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO|1
41026|Huila|Altamira||0
41078|Huila|Baraya||1
41132|Huila|Campoalegre||0
41206|Huila|Colombia||1
41244|Huila|Elías||0
41298|Huila|Garzón||0
41306|Huila|Gigante||0
41319|Huila|Guadalupe||0
41349|Huila|Hobo||1
41357|Huila|Íquira||0
41359|Huila|Isnos||1
41378|Huila|La Argentina||0
41396|Huila|La Plata||0
41483|Huila|Nátaga||0
41503|Huila|Oporapa||0
41518|Huila|Paicol||0
41524|Huila|Palermo||0
41530|Huila|Palestina||0
41548|Huila|Pital||0
41551|Huila|Pitalito||0
41615|Huila|Rivera||0
41660|Huila|Saladoblanco||0
41668|Huila|San Agustín||0
41676|Huila|Santa María||0
41770|Huila|Suaza||0
41791|Huila|Tarqui||0
41797|Huila|Tesalia||0
41799|Huila|Tello||1
41801|Huila|Teruel||0
41807|Huila|Timaná||0
41872|Huila|Villavieja||0
41885|Huila|Yaguará||0
44001|La Guajira|Riohacha||1
44035|La Guajira|Albania||0
44078|La Guajira|Barrancas||0
44090|La Guajira|Dibulla|SIERRA NEVADA - PERIJÁ|1
44098|La Guajira|Distracción||0
44110|La Guajira|El Molino||1
44279|La Guajira|Fonseca|SIERRA NEVADA - PERIJÁ|1
44378|La Guajira|Hatonuevo||0
44420|La Guajira|La Jagua del Pilar||1
44430|La Guajira|Maicao||1
44560|La Guajira|Manaure||0
44650|La Guajira|San Juan del Cesar|SIERRA NEVADA - PERIJÁ|1
44847|La Guajira|Uribia||0
44855|La Guajira|Urumita||1
44874|La Guajira|Villanueva||1
47001|Magdalena|Santa Marta|SIERRA NEVADA - PERIJÁ|0
47030|Magdalena|Algarrobo||0
47053|Magdalena|Aracataca|SIERRA NEVADA - PERIJÁ|1
47058|Magdalena|Ariguaní||0
47161|Magdalena|Cerro de San Antonio||0
47170|Magdalena|Chibolo||0
47189|Magdalena|Ciénaga|SIERRA NEVADA - PERIJÁ|0
47205|Magdalena|Concordia||0
47245|Magdalena|El Banco||0
47258|Magdalena|El Piñón||0
47268|Magdalena|El Retén||0
47288|Magdalena|Fundación|SIERRA NEVADA - PERIJÁ|1
47318|Magdalena|Guamal||0
47460|Magdalena|Nueva Granada||0
47541|Magdalena|Pedraza||0
47545|Magdalena|Pijiño del Carmen||0
47551|Magdalena|Pivijay||0
47555|Magdalena|Plato||0
47570|Magdalena|Puebloviejo||0
47605|Magdalena|Remolino||0
